name,website,owner,name
Team Penske,https://www.teampenske.com/,Roger Penske,NASCAR
Track House Racing,https://www.trackhouse.com/,Justin Marks,NASCAR
Joe Gibbs Racing,https://www.joegibbsracing.com/,Joe Gibbs,NASCAR
Kaulig Racing,https://www.kauligracing.com/,Matt Kaulig,NASCAR
Stewart Haas,https://www.stewarthaasracing.com/,Tony Stewart,NASCAR
23XI Racing,https://www.23xiracing.com/,Michael Jordan - Denny Hamlin,NASCAR
Hendrick Motorsports,https://www.hendrickmotorsports.com/,Rick Hendrick,NASCAR
Richard Childress Racing,https://www.rcrracing.com/,Richard Childress,NASCAR
RFK Racing,http://www.bradracing.com/,Brad Kewelowski,NASCAR
Front Row Motorsports,https://www.nascar.com/racing-teams/front-row-motorsports/,NULL,NASCAR
JTG Daugherty Racing,https://jtgdaughertyracing.com/,NULL,NASCAR
Wood Brothers Racing,https://www.woodbrothersracing.com/,Glenn Wood,NASCAR
Spire Motorsports,https://www.spire-motorsports.com/cup/,NULL,NASCAR
Rick Ware Racing,https://www.wareracing.com/,NULL,NASCAR
Legacy Motor Club,https://legacymotorclub.com/,Jimmy Johnson - Richard Petty,NASCAR
