TRACK	RACE_DATE	CONFIGURATION
Sonoma Raceway	2024-06-09	Road course
POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	110	5	19	48	8	0
2	Michael McDowell	34	Ford	110	12	0	40	5	0
3	Chris Buescher	17	Ford	110	26	32	44	10	0
4	Chase Elliott	9	Chevrolet	110	4	3	40	7	0
5	Ross Chastain	1	Chevrolet	110	9	0	36	4	0
6	AJ Allmendinger	16	Chevrolet	110	11	3	0	0	0
7	Ryan Blaney	12	Ford	110	3	1	39	9	0
8	Tyler Reddick	45	Toyota	110	2	35	39	10	0
9	Christopher Bell	20	Toyota	110	15	0	28	0	0
10	Todd Gilliland	38	Ford	110	14	0	31	4	0
11	Corey LaJoie	7	Chevrolet	110	17	0	28	2	0
12	Kyle Busch	8	Chevrolet	110	29	1	32	7	0
13	Brad Keselowski	6	Ford	110	35	0	29	5	0
14	Daniel Suarez	99	Chevrolet	110	7	0	26	3	0
15	Alex Bowman	48	Chevrolet	110	8	0	28	6	0
16	Zane Smith	71	Chevrolet	110	20	0	21	0	0
17	Carson Hocevar	77	Chevrolet	110	13	0	20	0	0
18	Ryan Preece	41	Ford	110	30	0	28	9	0
19	Erik Jones	43	Toyota	110	38	0	22	4	0
20	Bubba Wallace	23	Toyota	110	18	0	17	0	0
21	Joey Logano	22	Ford	110	1	16	18	2	0
22	Austin Cindric	2	Ford	110	28	0	15	0	0
23	Kaz Grala	15	Ford	110	36	0	14	0	0
24	Ricky Stenhouse Jr.	47	Chevrolet	110	33	0	13	0	0
25	Harrison Burton	21	Ford	110	22	0	13	1	0
26	Noah Gragson	10	Ford	110	19	0	11	0	0
27	Martin Truex Jr.	19	Toyota	110	21	1	18	8	0
28	Daniel Hemric	31	Chevrolet	109	34	0	9	0	0
29	John Hunter Nemechek	42	Toyota	109	37	0	8	0	0
30	William Byron	24	Chevrolet	108	6	0	7	0	0
31	Will Brown	33	Chevrolet	107	24	0	6	0	0
32	Josh Berry	4	Ford	95	32	0	5	0	0
33	Justin Haley	51	Ford	88	27	0	4	0	0
34	Chase Briscoe	14	Ford	73	23	0	3	0	0
35	Cam Waters	60	Ford	66	31	0	2	0	0
36	Austin Dillon	3	Chevrolet	39	16	0	1	0	0
37	Ty Gibbs	54	Toyota	16	10	0	1	0	0
38	Denny Hamlin	11	Toyota	2	25	0	1	0	0
