POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Brad Keselowski	2	Ford	500	1	115	50	10	0
2	Clint Bowyer	14	Ford	500	23	0	40	5	0
3	Jimmie Johnson	48	Chevrolet	500	24	0	35	1	0
4	Kyle Busch	18	Toyota	500	7	100	39	6	0
5	Erik Jones	20	Toyota	500	15	0	35	3	0
6	Austin Dillon	3	Chevrolet	500	20	0	31	0	0
7	Kurt Busch	1	Chevrolet	500	12	0	30	0	0
8	William Byron	24	Chevrolet	500	13	0	33	4	0
9	Christopher Bell	95	Toyota	500	35	0	28	0	0
10	Bubba Wallace	43	Chevrolet	500	36	0	27	0	0
11	Kevin Harvick	4	Ford	500	8	0	39	13	0
12	Ryan Preece	37	Chevrolet	500	33	0	25	0	0
13	John Hunter Nemechek	38	Ford	500	18	0	24	0	0
14	Michael McDowell	34	Ford	500	25	0	23	0	0
15	Ryan Newman	6	Ford	500	17	0	22	0	0
16	Matt Kenseth	42	Chevrolet	500	14	0	21	0	0
17	Denny Hamlin	11	Toyota	500	10	131	32	12	0
18	Daniel Suarez	96	Toyota	500	37	0	19	0	0
19	Timmy Hill	66	Toyota	500	38	0	0	0	0
20	Martin Truex Jr.	19	Toyota	500	5	0	17	0	0
21	Joey Logano	22	Ford	500	3	2	29	13	0
22	Chase Elliott	9	Chevrolet	500	6	88	35	20	0
23	Chris Buescher	17	Ford	496	19	0	15	1	0
24	Brennan Poole	15	Chevrolet	494	34	0	13	0	0
25	J.J. Yeley	7	Chevrolet	492	40	0	0	0	0
26	Garrett Smithley	77	Chevrolet	489	31	0	0	0	0
27	Quin Houff	00	Chevrolet	483	28	0	10	0	0
28	B.J. McLeod	78	Chevrolet	477	39	0	0	0	0
29	Aric Almirola	10	Ford	470	2	0	15	7	0
30	Gray Gaulding	27	Ford	456	30	0	7	0	0
31	Matt DiBenedetto	21	Ford	456	9	4	10	4	0
32	Corey LaJoie	32	Ford	375	32	0	5	0	0
33	Joey Gase	51	Ford	302	27	0	0	0	0
34	Ricky Stenhouse Jr.	47	Chevrolet	228	16	0	5	2	0
35	Cole Custer	41	Ford	228	22	0	2	0	0
36	Tyler Reddick	8	Chevrolet	228	21	0	1	0	0
37	Alex Bowman	5	Chevrolet	228	11	0	1	0	0
38	Bayley Currey	53	Ford	203	26	0	0	0	0
39	Ty Dillon	13	Chevrolet	201	29	0	1	0	0
40	Ryan Blaney	12	Ford	199	4	60	10	9	0
