POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Denny Hamlin	11	Toyota	311	2	115	60	20	0
2	Martin Truex Jr.	19	Toyota	311	3	88	50	15	0
3	Kyle Busch	18	Toyota	311	22	3	41	7	0
4	Kevin Harvick	4	Ford	311	10	0	42	9	0
5	Chase Elliott	9	Chevrolet	311	1	27	33	1	0
6	Clint Bowyer	14	Ford	311	4	0	46	15	0
7	Jimmie Johnson	48	Chevrolet	311	6	0	37	7	0
8	Joey Logano	22	Ford	311	5	0	37	8	0
9	Brad Keselowski	2	Ford	311	7	9	42	14	0
10	Ricky Stenhouse Jr.	47	Chevrolet	311	19	1	29	2	0
11	Cole Custer	41	Ford	311	21	0	26	0	0
12	Erik Jones	20	Toyota	311	13	0	25	0	0
13	Tyler Reddick	8	Chevrolet	310	16	0	24	0	0
14	Ryan Blaney	12	Ford	310	20	0	23	0	0
15	Austin Dillon	3	Chevrolet	310	32	49	31	9	0
16	Chris Buescher	17	Ford	310	12	0	23	2	0
17	Aric Almirola	10	Ford	309	17	0	21	1	0
18	Ty Dillon	13	Chevrolet	309	25	0	19	0	0
19	Ryan Newman	6	Ford	309	23	0	18	0	0
20	Matt DiBenedetto	21	Ford	309	14	17	17	0	0
21	Alex Bowman	5	Chevrolet	309	11	0	16	0	0
22	Christopher Bell	95	Toyota	309	18	0	15	0	0
23	Matt Kenseth	42	Chevrolet	309	26	1	14	0	0
24	John Hunter Nemechek	38	Ford	309	31	0	13	0	0
25	Ryan Preece	37	Chevrolet	309	27	0	12	0	0
26	Michael McDowell	34	Ford	308	15	0	11	0	0
27	Bubba Wallace	43	Chevrolet	308	24	0	10	0	0
28	William Byron	24	Chevrolet	308	8	1	9	0	0
29	Corey LaJoie	32	Ford	308	29	0	8	0	0
30	Daniel Suarez	96	Toyota	306	28	0	7	0	0
31	J.J. Yeley	27	Ford	302	34	0	0	0	0
32	Josh Bilicki	53	Ford	299	37	0	0	0	0
33	Quin Houff	00	Chevrolet	298	35	0	4	0	0
34	Timmy Hill	66	Toyota	298	33	0	0	0	0
35	Joey Gase	51	Ford	293	38	0	0	0	0
36	Brennan Poole	15	Chevrolet	286	30	0	1	0	0
37	Garrett Smithley	7	Chevrolet	241	39	0	0	0	0
38	B.J. McLeod	78	Chevrolet	166	40	0	0	0	0
39	Reed Sorenson	77	Chevrolet	83	36	0	1	0	0
40	Kurt Busch	1	Chevrolet	6	9	0	1	0	0
