POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Alex Bowman	48	Chevrolet	274	13	16	50	10	0
2	Kyle Larson	5	Chevrolet	274	2	27	48	13	0
3	Ross Chastain	1	Chevrolet	274	18	83	52	18	0
4	Kyle Busch	18	Toyota	274	37	49	41	8	0
5	William Byron	24	Chevrolet	274	14	8	48	16	0
6	Aric Almirola	10	Ford	274	20	0	31	0	0
7	Tyler Reddick	8	Chevrolet	274	7	0	30	0	0
8	Martin Truex Jr.	19	Toyota	274	12	1	34	5	0
9	Chase Elliott	9	Chevrolet	274	5	0	43	15	0
10	Christopher Bell	20	Toyota	274	1	32	27	0	0
11	Austin Dillon	3	Chevrolet	274	10	0	26	0	0
12	Kevin Harvick	4	Ford	274	25	0	28	3	0
13	Kurt Busch	45	Toyota	274	31	4	24	0	0
14	Joey Logano	22	Ford	274	6	0	27	4	0
15	Corey LaJoie	7	Chevrolet	274	29	0	22	0	0
16	Harrison Burton	21	Ford	274	19	0	21	0	0
17	Justin Haley	31	Chevrolet	274	28	0	20	0	0
18	Chris Buescher	17	Ford	274	27	0	19	0	0
19	Austin Cindric	2	Ford	274	3	0	18	0	0
20	Ty Dillon	42	Chevrolet	274	32	1	17	0	0
21	Ricky Stenhouse Jr.	47	Chevrolet	274	9	4	16	0	0
22	Daniel Hemric	16	Chevrolet	274	16	0	0	0	0
23	Todd Gilliland	38	Ford	274	30	0	14	0	0
24	Brad Keselowski	6	Ford	273	15	3	13	0	0
25	Bubba Wallace	23	Toyota	273	17	0	13	1	0
26	Cody Ware	51	Ford	273	33	0	11	0	0
27	Michael McDowell	34	Ford	273	22	4	10	0	0
28	B.J. McLeod	78	Ford	272	35	0	9	0	0
29	Josh Bilicki	77	Chevrolet	271	34	0	0	0	0
30	Garrett Smithley	15	Ford	267	36	0	7	0	0
31	Erik Jones	43	Chevrolet	264	23	0	6	0	0
32	Denny Hamlin	11	Toyota	219	8	31	14	9	0
33	Cole Custer	41	Ford	171	24	0	4	0	0
34	Greg Biffle	44	Chevrolet	148	26	1	0	0	0
35	Chase Briscoe	14	Ford	135	4	0	5	3	0
36	Ryan Blaney	12	Ford	104	11	10	5	4	0
37	Daniel Suarez	99	Chevrolet	92	21	0	1	0	0
