POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Chris Buescher	17	Ford	200	4	52	41	1	0
2	Martin Truex Jr.	19	Toyota	200	5	47	55	20	0
3	Denny Hamlin	11	Toyota	200	13	1	37	3	0
4	Brad Keselowski	6	Ford	200	12	15	48	15	0
5	Kyle Larson	5	Chevrolet	200	17	2	43	11	0
6	Daniel Suarez	99	Chevrolet	200	14	12	45	14	0
7	Ross Chastain	1	Chevrolet	200	2	16	30	0	0
8	Kevin Harvick	4	Ford	200	22	0	29	0	0
9	Ryan Blaney	12	Ford	200	9	1	28	0	0
10	Erik Jones	43	Chevrolet	200	25	0	29	2	0
11	Ty Gibbs	54	Toyota	200	3	1	34	8	0
12	Austin Cindric	2	Ford	200	21	0	27	2	0
13	Christopher Bell	20	Toyota	200	1	1	24	0	0
14	Joey Logano	22	Ford	200	6	0	27	4	0
15	Corey LaJoie	7	Chevrolet	200	31	0	23	1	0
16	Aric Almirola	10	Ford	200	18	0	21	0	0
17	Harrison Burton	21	Ford	200	29	0	20	0	0
18	Bubba Wallace	23	Toyota	200	11	21	35	16	0
19	Austin Dillon	3	Chevrolet	200	16	2	18	0	0
20	Ty Dillon	77	Chevrolet	200	34	2	17	0	0
21	Ricky Stenhouse Jr.	47	Chevrolet	200	27	0	16	0	0
22	Ryan Preece	41	Ford	199	28	0	15	0	0
23	Justin Haley	31	Chevrolet	199	26	0	14	0	0
24	Michael McDowell	34	Ford	199	23	0	13	0	0
25	Cole Custer	51	Ford	199	33	0	0	0	0
26	AJ Allmendinger	16	Chevrolet	199	24	0	14	3	0
27	J.J. Yeley	15	Ford	199	36	0	0	0	0
28	Austin Hill	62	Chevrolet	198	30	0	0	0	0
29	Todd Gilliland	38	Ford	197	32	0	8	0	0
30	Tyler Reddick	45	Toyota	197	15	7	7	0	0
31	Chase Briscoe	14	Ford	197	19	0	6	0	0
32	Josh Bilicki	78	Chevrolet	196	37	1	0	0	0
33	Alex Bowman	48	Chevrolet	134	20	19	14	10	0
34	Josh Berry	42	Chevrolet	50	35	0	0	0	0
35	William Byron	24	Chevrolet	46	7	0	2	0	0
36	Chase Elliott	9	Chevrolet	34	10	0	1	0	0
37	Kyle Busch	8	Chevrolet	14	8	0	1	0	0
