POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	305	4	149	57	17	0
2	Chase Briscoe	14	Ford	305	23	0	35	0	0
3	Josh Berry	4	Ford	305	10	0	43	9	0
4	Kyle Larson	5	Chevrolet	305	19	0	37	4	0
5	Chris Buescher	17	Ford	305	15	0	32	0	0
6	Tyler Reddick	45	Toyota	305	12	53	33	2	0
7	Ricky Stenhouse Jr.	47	Chevrolet	305	13	0	30	0	0
8	John Hunter Nemechek	42	Toyota	305	28	0	29	0	0
9	Martin Truex Jr.	19	Toyota	305	7	0	42	14	0
10	Ross Chastain	1	Chevrolet	305	8	0	31	4	0
11	Ryan Preece	41	Ford	305	31	0	26	0	0
12	Todd Gilliland	38	Ford	305	16	19	30	5	0
13	Erik Jones	43	Toyota	305	32	0	24	0	0
14	Harrison Burton	21	Ford	305	27	0	23	0	0
15	Michael McDowell	34	Ford	305	25	0	22	0	0
16	Ty Gibbs	54	Toyota	305	18	0	21	0	0
17	Carson Hocevar	77	Chevrolet	305	20	0	20	0	0
18	Chase Elliott	9	Chevrolet	305	1	41	29	10	0
19	Austin Cindric	2	Ford	305	29	0	18	0	0
20	Ty Dillon	16	Chevrolet	305	36	0	0	0	0
21	Daniel Suarez	99	Chevrolet	305	11	0	16	0	0
22	Kaz Grala	15	Ford	305	35	0	15	0	0
23	Corey LaJoie	7	Chevrolet	305	26	0	14	0	0
24	Denny Hamlin	11	Toyota	305	14	43	27	14	0
25	Ryan Blaney	12	Ford	305	2	0	25	13	0
26	William Byron	24	Chevrolet	305	3	0	11	0	0
27	Noah Gragson	10	Ford	305	21	0	10	0	0
28	Brad Keselowski	6	Ford	305	9	0	9	0	0
29	Justin Haley	51	Ford	305	24	0	8	0	0
30	Zane Smith	71	Chevrolet	304	34	0	7	0	0
31	Daniel Hemric	31	Chevrolet	303	33	0	6	0	0
32	Joey Logano	22	Ford	302	6	0	22	17	0
33	Austin Dillon	3	Chevrolet	268	22	0	4	0	0
34	Bubba Wallace	23	Toyota	265	17	0	3	0	0
35	Kyle Busch	8	Chevrolet	222	30	0	2	0	0
36	Alex Bowman	48	Chevrolet	142	5	0	2	1	0
