POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	312	13	50	40	0	0
2	Chris Buescher	17	Ford	312	14	0	35	0	0
3	Ty Gibbs	54	Toyota	312	2	57	34	0	0
4	Brad Keselowski	6	Ford	312	18	0	33	0	0
5	Ryan Blaney	12	Ford	312	16	0	32	0	0
6	Ross Chastain	1	Chevrolet	312	12	0	31	0	0
7	Martin Truex Jr.	19	Toyota	312	11	55	30	0	0
8	Michael McDowell	34	Ford	312	9	0	29	0	0
9	Chase Briscoe	14	Ford	312	8	0	28	0	0
10	Tyler Reddick	45	Toyota	312	6	68	27	0	0
11	Denny Hamlin	11	Toyota	312	1	69	26	0	0
12	Noah Gragson	10	Ford	312	7	0	25	0	0
13	Daniel Suarez	99	Chevrolet	312	15	0	24	0	0
14	Kyle Larson	5	Chevrolet	312	17	0	23	0	0
15	Carson Hocevar	77	Chevrolet	312	10	0	22	0	0
16	Bubba Wallace	23	Toyota	312	22	0	21	0	0
17	Todd Gilliland	38	Ford	312	29	14	20	0	0
18	William Byron	24	Chevrolet	312	5	0	19	0	0
19	Chase Elliott	9	Chevrolet	312	3	0	18	0	0
20	Alex Bowman	48	Chevrolet	312	25	0	17	0	0
21	Ricky Stenhouse Jr.	47	Chevrolet	312	20	0	16	0	0
22	Kyle Busch	8	Chevrolet	312	31	0	15	0	0
23	Ryan Preece	41	Ford	312	27	0	14	0	0
24	Justin Haley	51	Ford	312	33	0	13	0	0
25	John Hunter Nemechek	42	Toyota	312	19	0	12	0	0
26	Josh Berry	4	Ford	312	36	0	11	0	0
27	Harrison Burton	21	Ford	312	24	0	10	0	0
28	Daniel Hemric	31	Chevrolet	312	21	0	9	0	0
29	Zane Smith	71	Chevrolet	312	28	0	8	0	0
30	Kaz Grala	15	Ford	312	32	0	7	0	0
31	Erik Jones	43	Toyota	312	4	0	6	0	0
32	Austin Dillon	3	Chevrolet	312	30	0	5	0	0
33	Corey LaJoie	7	Chevrolet	312	35	0	4	0	0
34	Joey Logano	22	Ford	312	23	0	3	0	0
35	Derek Kraus	16	Chevrolet	312	26	0	2	0	0
36	Austin Cindric	2	Ford	312	34	0	1	0	0
