POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	92	1	57	60	20	0
2	Chase Elliott	9	Chevrolet	92	2	13	50	15	0
3	Martin Truex Jr.	19	Toyota	92	19	0	41	7	0
4	Joey Logano	22	Ford	92	13	5	42	9	0
5	Kyle Busch	18	Toyota	92	5	2	44	12	0
6	Kurt Busch	1	Chevrolet	92	30	8	41	10	0
7	Ross Chastain	42	Chevrolet	92	29	0	30	0	0
8	Denny Hamlin	11	Toyota	92	4	2	31	2	0
9	Alex Bowman	48	Chevrolet	92	7	0	42	14	0
10	Ryan Blaney	12	Ford	92	11	0	27	0	0
11	Erik Jones	43	Chevrolet	92	18	0	27	1	0
12	Daniel Suarez	99	Chevrolet	92	16	0	25	0	0
13	Austin Dillon	3	Chevrolet	92	6	0	29	5	0
14	Bubba Wallace	23	Toyota	92	15	0	23	0	0
15	Brad Keselowski	2	Ford	92	9	0	25	3	0
16	Chris Buescher	17	Ford	92	12	0	21	0	0
17	Chase Briscoe	14	Ford	92	25	0	20	0	0
18	Corey LaJoie	7	Chevrolet	92	22	0	19	0	0
19	Tyler Reddick	8	Chevrolet	92	10	0	22	4	0
20	Cole Custer	41	Ford	92	23	0	17	0	0
21	Ryan Preece	37	Chevrolet	92	27	0	16	0	0
22	Kevin Harvick	4	Ford	92	8	0	15	0	0
23	Matt DiBenedetto	21	Ford	92	17	0	16	2	0
24	Christopher Bell	20	Toyota	92	20	0	14	1	0
25	James Davison	15	Chevrolet	92	32	0	12	0	0
26	Scott Heckert	78	Ford	92	35	0	11	0	0
27	Aric Almirola	10	Ford	92	26	0	10	0	0
28	Michael McDowell	34	Ford	92	21	0	9	0	0
29	Josh Bilicki	52	Ford	92	36	0	8	0	0
30	Ben Rhodes	77	Chevrolet	92	31	0	0	0	0
31	Anthony Alfredo	38	Ford	92	28	0	6	0	0
32	Garrett Smithley	53	Ford	92	34	0	0	0	0
33	Ryan Newman	6	Ford	92	24	0	4	0	0
34	Cody Ware	51	Chevrolet	84	37	0	0	0	0
35	William Byron	24	Chevrolet	76	3	5	7	5	0
36	Quin Houff	00	Chevrolet	69	33	0	1	0	0
37	Ricky Stenhouse Jr.	47	Chevrolet	40	14	0	1	0	0
