POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kurt Busch	1	Chevrolet	260	8	144	59	19	0
2	Kyle Busch	18	Toyota	260	2	91	54	19	0
3	Martin Truex Jr.	19	Toyota	260	5	0	37	3	0
4	Alex Bowman	48	Chevrolet	260	17	0	48	15	0
5	Ryan Blaney	12	Ford	260	15	0	36	4	0
6	Tyler Reddick	8	Chevrolet	260	7	0	42	11	0
7	Chase Elliott	9	Chevrolet	260	1	13	30	0	0
8	Christopher Bell	20	Toyota	260	4	0	29	0	0
9	Matt DiBenedetto	21	Ford	260	12	0	28	0	0
10	Brad Keselowski	2	Ford	260	14	0	30	3	0
11	Kevin Harvick	4	Ford	260	21	0	27	1	0
12	Austin Dillon	3	Chevrolet	260	13	0	27	2	0
13	Denny Hamlin	11	Toyota	260	3	2	38	14	0
14	Bubba Wallace	23	Toyota	260	24	0	23	0	0
15	Chase Briscoe	14	Ford	260	11	0	22	0	0
16	Chris Buescher	17	Ford	260	18	0	21	0	0
17	Cole Custer	41	Ford	260	23	1	20	0	0
18	Kyle Larson	5	Chevrolet	260	6	0	31	12	0
19	Joey Logano	22	Ford	259	10	0	22	4	0
20	William Byron	24	Chevrolet	259	19	0	20	3	0
21	Ross Chastain	42	Chevrolet	259	9	0	16	0	0
22	Corey LaJoie	7	Chevrolet	258	26	0	15	0	0
23	Aric Almirola	10	Ford	258	20	8	14	0	0
24	Erik Jones	43	Chevrolet	258	22	0	13	0	0
25	Ryan Preece	37	Chevrolet	258	34	1	12	0	0
26	Anthony Alfredo	38	Ford	257	32	0	11	0	0
27	Michael McDowell	34	Ford	256	25	0	10	0	0
28	Ryan Newman	6	Ford	256	29	0	9	0	0
29	Justin Haley	77	Chevrolet	255	28	0	0	0	0
30	B.J. McLeod	78	Ford	254	36	0	0	0	0
31	Garrett Smithley	53	Chevrolet	253	37	0	0	0	0
32	Bayley Currey	15	Chevrolet	253	33	0	0	0	0
33	Cody Ware	51	Chevrolet	253	31	0	0	0	0
34	Josh Bilicki	52	Ford	248	30	0	3	0	0
35	Quin Houff	00	Chevrolet	248	35	0	2	0	0
36	Daniel Suarez	99	Chevrolet	243	27	0	1	0	0
37	Ricky Stenhouse Jr.	47	Chevrolet	178	16	0	1	0	0
