POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Denny Hamlin	11	Toyota	500	3	163	44	4	0
2	Martin Truex Jr.	19	Toyota	500	11	54	44	9	0
3	Brad Keselowski	6	Ford	500	17	1	50	16	0
4	Alex Bowman	48	Chevrolet	500	29	3	33	0	0
5	Kyle Larson	5	Chevrolet	500	10	19	44	12	0
6	John Hunter Nemechek	42	Toyota	499	26	0	44	13	0
7	Chris Buescher	17	Ford	499	34	17	38	8	0
8	Chase Elliott	9	Chevrolet	499	5	5	29	0	0
9	Ty Gibbs	54	Toyota	499	19	137	48	20	0
10	Christopher Bell	20	Toyota	499	12	29	34	7	0
11	Michael McDowell	34	Ford	499	7	0	26	0	0
12	Josh Berry	4	Ford	499	2	25	27	2	0
13	Chase Briscoe	14	Ford	498	6	0	24	0	0
14	Ryan Preece	41	Ford	498	25	0	27	4	0
15	Ross Chastain	1	Chevrolet	498	36	0	22	0	0
16	Ryan Blaney	12	Ford	498	1	15	26	5	0
17	Justin Haley	51	Ford	498	32	0	20	0	0
18	Daniel Suarez	99	Chevrolet	498	28	0	19	0	0
19	Kaz Grala	15	Ford	498	33	0	18	0	0
20	Erik Jones	43	Toyota	498	15	0	17	0	0
21	Corey LaJoie	7	Chevrolet	498	18	4	16	0	0
22	Joey Logano	22	Ford	498	4	5	23	8	0
23	AJ Allmendinger	16	Chevrolet	498	30	0	0	0	0
24	Austin Dillon	3	Chevrolet	498	31	0	13	0	0
25	Kyle Busch	8	Chevrolet	498	14	5	12	0	0
26	Todd Gilliland	38	Ford	497	24	0	11	0	0
27	Carson Hocevar	77	Chevrolet	497	35	0	10	0	0
28	Daniel Hemric	31	Chevrolet	496	20	0	9	0	0
29	Bubba Wallace	23	Toyota	496	9	15	10	2	0
30	Tyler Reddick	45	Toyota	495	23	4	7	0	0
31	Austin Cindric	2	Ford	495	21	0	6	0	0
32	Harrison Burton	21	Ford	495	13	0	5	0	0
33	Ricky Stenhouse Jr.	47	Chevrolet	495	27	0	4	0	0
34	Noah Gragson	10	Ford	494	22	0	3	0	0
35	William Byron	24	Chevrolet	492	8	0	2	0	0
36	Zane Smith	71	Chevrolet	192	16	0	1	0	0
