POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	267	13	26	42	2	0
2	Ryan Blaney	12	Ford	267	10	53	53	18	0
3	Tyler Reddick	45	Toyota	267	3	1	42	8	0
4	William Byron	24	Chevrolet	267	7	25	49	16	0
5	AJ Allmendinger	16	Chevrolet	267	25	0	32	0	0
6	Bubba Wallace	23	Toyota	267	2	9	31	0	0
7	Ty Gibbs	54	Toyota	267	9	0	34	4	0
8	Joey Logano	22	Ford	267	36	0	30	1	0
9	Aric Almirola	10	Ford	267	30	0	28	0	0
10	Austin Dillon	3	Chevrolet	267	6	0	32	5	0
11	Kevin Harvick	4	Ford	267	22	0	26	0	0
12	Austin Cindric	2	Ford	267	26	0	25	0	0
13	Ryan Preece	41	Ford	267	29	0	24	0	0
14	Erik Jones	43	Chevrolet	267	19	0	23	0	0
15	Chase Elliott	9	Chevrolet	267	16	0	22	0	0
16	Daniel Suarez	99	Chevrolet	267	14	0	21	0	0
17	Chase Briscoe	14	Ford	267	21	0	20	0	0
18	Kyle Busch	8	Chevrolet	267	18	0	19	0	0
19	Alex Bowman	48	Chevrolet	267	12	0	18	0	0
20	Corey LaJoie	7	Chevrolet	267	20	0	17	0	0
21	Chris Buescher	17	Ford	267	17	0	16	0	0
22	Michael McDowell	34	Ford	267	15	0	15	0	0
23	Justin Haley	31	Chevrolet	267	27	0	14	0	0
24	Ty Dillon	77	Chevrolet	266	33	0	13	0	0
25	Todd Gilliland	38	Ford	266	32	0	12	0	0
26	Ryan Newman	51	Ford	265	34	0	0	0	0
27	Ricky Stenhouse Jr.	47	Chevrolet	263	23	0	10	0	0
28	Brad Keselowski	6	Ford	262	4	16	24	15	0
29	Martin Truex Jr.	19	Toyota	237	1	10	19	11	0
30	Denny Hamlin	11	Toyota	236	11	31	19	12	0
31	Ross Chastain	1	Chevrolet	221	8	0	6	0	0
32	John Hunter Nemechek	42	Chevrolet	218	24	0	0	0	0
33	J.J. Yeley	15	Ford	218	31	0	0	0	0
34	Kyle Larson	5	Chevrolet	214	5	96	21	18	0
35	Josh Bilicki	78	Chevrolet	201	35	0	0	0	0
36	Harrison Burton	21	Ford	165	28	0	1	0	0
