POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Ross Chastain	1	Chevrolet	312	8	157	57	17	0
2	Ryan Blaney	12	Ford	312	15	2	35	0	0
3	Kyle Larson	5	Chevrolet	312	4	0	34	0	0
4	William Byron	24	Chevrolet	312	1	95	33	0	0
5	Chris Buescher	17	Ford	312	9	18	47	15	0
6	Martin Truex Jr.	19	Toyota	312	2	1	41	10	0
7	Kevin Harvick	4	Ford	312	3	23	47	17	0
8	Denny Hamlin	11	Toyota	312	6	14	29	0	0
9	Michael McDowell	34	Ford	312	19	0	28	0	0
10	Bubba Wallace	23	Toyota	312	5	0	37	10	0
11	Daniel Suarez	99	Chevrolet	312	16	0	26	0	0
12	Austin Dillon	3	Chevrolet	312	21	0	25	0	0
13	Aric Almirola	10	Ford	312	28	0	24	0	0
14	Ryan Preece	41	Ford	312	12	0	23	0	0
15	Brad Keselowski	6	Ford	312	31	0	24	2	0
16	Chase Elliott	9	Chevrolet	312	20	0	21	0	0
17	Alex Bowman	48	Chevrolet	312	23	0	20	0	0
18	Joey Logano	22	Ford	312	17	0	19	0	0
19	Carson Hocevar	42	Chevrolet	312	22	0	0	0	0
20	Erik Jones	43	Chevrolet	312	7	0	21	4	0
21	Ty Gibbs	54	Toyota	312	11	0	16	0	0
22	Tyler Reddick	45	Toyota	312	10	0	15	0	0
23	Ricky Stenhouse Jr.	47	Chevrolet	312	24	0	14	0	0
24	Chase Briscoe	14	Ford	312	26	2	13	0	0
25	Kyle Busch	8	Chevrolet	311	18	0	12	0	0
26	Harrison Burton	21	Ford	311	25	0	11	0	0
27	J.J. Yeley	15	Ford	311	34	0	0	0	0
28	Ty Dillon	77	Chevrolet	310	33	0	9	0	0
29	Justin Haley	31	Chevrolet	310	35	0	8	0	0
30	Todd Gilliland	38	Ford	309	14	0	7	0	0
31	Corey LaJoie	7	Chevrolet	308	29	0	6	0	0
32	AJ Allmendinger	16	Chevrolet	308	32	0	5	0	0
33	B.J. McLeod	78	Chevrolet	306	36	0	0	0	0
34	Ryan Newman	51	Ford	305	30	0	0	0	0
35	Austin Cindric	2	Ford	301	27	0	2	0	0
36	Christopher Bell	20	Toyota	108	13	0	1	0	0
