POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Austin Cindric	2	Ford	240	2	53	56	16	0
2	Denny Hamlin	11	Toyota	240	6	0	42	7	0
3	Brad Keselowski	6	Ford	240	7	17	40	6	0
4	Tyler Reddick	45	Toyota	240	5	0	36	3	0
5	Joey Logano	22	Ford	240	12	1	39	7	0
6	Austin Dillon	3	Chevrolet	240	18	0	33	2	0
7	Christopher Bell	20	Toyota	240	4	80	50	20	0
8	Carson Hocevar	77	Chevrolet	240	20	0	32	3	0
9	Justin Haley	51	Ford	240	21	0	28	0	0
10	Kyle Larson	5	Chevrolet	240	13	7	27	0	0
11	Ty Gibbs	54	Toyota	240	9	0	30	4	0
12	Ross Chastain	1	Chevrolet	240	16	0	25	0	0
13	Chase Elliott	9	Chevrolet	240	17	0	32	8	0
14	Chris Buescher	17	Ford	240	26	0	23	0	0
15	William Byron	24	Chevrolet	240	11	0	27	5	0
16	Todd Gilliland	38	Ford	240	35	6	21	0	0
17	Chase Briscoe	14	Ford	240	23	0	24	4	0
18	Daniel Hemric	31	Chevrolet	240	28	0	19	0	0
19	Zane Smith	71	Chevrolet	240	36	0	18	0	0
20	Ricky Stenhouse Jr.	47	Chevrolet	240	24	0	17	0	0
21	Bubba Wallace	23	Toyota	240	8	0	16	0	0
22	Noah Gragson	10	Ford	240	27	0	15	0	0
23	Daniel Suarez	99	Chevrolet	240	31	0	14	0	0
24	Ryan Blaney	12	Ford	240	3	20	29	16	0
25	Michael McDowell	34	Ford	239	1	40	21	9	0
26	Erik Jones	43	Toyota	239	22	0	11	0	0
27	John Hunter Nemechek	42	Toyota	239	33	0	10	0	0
28	Alex Bowman	48	Chevrolet	239	14	0	9	0	0
29	Ryan Preece	41	Ford	239	32	0	8	0	0
30	Derek Kraus	16	Chevrolet	239	25	0	7	0	0
31	Harrison Burton	21	Ford	239	30	0	6	0	0
32	Corey LaJoie	7	Chevrolet	239	15	0	5	0	0
33	Cody Ware	15	Ford	238	34	0	4	0	0
34	Martin Truex Jr.	19	Toyota	237	19	1	3	0	0
35	Kyle Busch	8	Chevrolet	139	10	15	2	0	0
36	Josh Berry	4	Ford	109	29	0	1	0	0
