POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	William Byron	24	Chevrolet	90	2	66	59	19	0
2	Denny Hamlin	11	Toyota	90	1	3	52	17	0
3	Christopher Bell	20	Toyota	90	7	0	43	9	0
4	AJ Allmendinger	16	Chevrolet	90	6	2	45	12	0
5	Ty Gibbs	54	Toyota	90	4	0	47	15	0
6	Martin Truex Jr.	19	Toyota	90	19	0	31	0	0
7	Chris Buescher	17	Ford	90	13	0	30	0	0
8	Tyler Reddick	45	Toyota	90	8	0	30	1	0
9	Ryan Blaney	12	Ford	90	23	0	28	0	0
10	Joey Logano	22	Ford	90	11	0	27	0	0
11	Todd Gilliland	38	Ford	90	25	0	26	0	0
12	Bubba Wallace	23	Toyota	90	12	0	30	5	0
13	Ricky Stenhouse Jr.	47	Chevrolet	90	28	0	24	0	0
14	Kyle Busch	8	Chevrolet	90	9	2	28	5	0
15	Brad Keselowski	6	Ford	90	24	0	22	0	0
16	Austin Cindric	2	Ford	90	17	0	21	0	0
17	Ryan Preece	41	Ford	90	30	0	20	0	0
18	Ross Chastain	1	Chevrolet	90	22	0	19	0	0
19	Mike Rockenfeller	42	Chevrolet	90	21	0	18	0	0
20	Corey LaJoie	7	Chevrolet	90	10	0	17	0	0
21	Kevin Harvick	4	Ford	90	33	0	16	0	0
22	Daniel Suarez	99	Chevrolet	90	14	0	15	0	0
23	Alex Bowman	48	Chevrolet	90	18	0	14	0	0
24	Justin Haley	31	Chevrolet	90	20	0	13	0	0
25	Andy Lally	15	Ford	90	29	0	12	0	0
26	Kyle Larson	5	Chevrolet	90	5	0	23	12	0
27	Josh Bilicki	78	Chevrolet	90	35	0	0	0	0
28	Cole Custer	51	Ford	90	34	0	0	0	0
29	Erik Jones	43	Chevrolet	90	31	0	8	0	0
30	Aric Almirola	10	Ford	90	27	0	7	0	0
31	Austin Dillon	3	Chevrolet	90	16	0	7	1	0
32	Chase Elliott	9	Chevrolet	89	15	0	9	4	0
33	Harrison Burton	21	Ford	89	32	0	4	0	0
34	Ty Dillon	77	Chevrolet	89	36	0	3	0	0
35	Chase Briscoe	14	Ford	83	26	0	2	0	0
36	Michael McDowell	34	Ford	74	3	17	11	10	0
