POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Denny Hamlin	11	Toyota	500	2	142	47	7	0
2	Kyle Larson	5	Chevrolet	500	36	20	46	11	0
3	Christopher Bell	20	Toyota	500	1	187	54	20	0
4	Chris Buescher	17	Ford	500	20	1	37	4	0
5	Ty Gibbs	54	Toyota	500	8	102	42	10	0
6	Michael McDowell	34	Ford	500	4	0	36	5	0
7	Chase Elliott	9	Chevrolet	500	7	0	31	1	0
8	Brad Keselowski	6	Ford	500	6	0	33	4	0
9	William Byron	24	Chevrolet	500	3	0	38	10	0
10	Ricky Stenhouse Jr.	47	Chevrolet	500	25	0	27	0	0
11	Carson Hocevar	42	Chevrolet	499	16	0	0	0	0
12	Ryan Preece	41	Ford	499	17	0	27	2	0
13	Alex Bowman	48	Chevrolet	499	13	0	24	0	0
14	Bubba Wallace	23	Toyota	499	9	0	31	8	0
15	Tyler Reddick	45	Toyota	499	12	0	28	6	0
16	Todd Gilliland	38	Ford	499	30	0	21	0	0
17	Austin Dillon	3	Chevrolet	499	18	0	20	0	0
18	Aric Almirola	10	Ford	499	26	0	19	0	0
19	Martin Truex Jr.	19	Toyota	498	5	0	20	2	0
20	Kyle Busch	8	Chevrolet	498	15	0	17	0	0
21	Daniel Suarez	99	Chevrolet	498	24	0	16	0	0
22	Ryan Blaney	12	Ford	498	11	0	15	0	0
23	Ross Chastain	1	Chevrolet	498	23	0	19	5	0
24	Erik Jones	43	Chevrolet	497	31	0	13	0	0
25	Corey LaJoie	7	Chevrolet	497	10	48	21	9	0
26	J.J. Yeley	15	Ford	495	35	0	0	0	0
27	Chase Briscoe	14	Ford	495	14	0	10	0	0
28	Harrison Burton	21	Ford	495	32	0	9	0	0
29	Kevin Harvick	4	Ford	495	21	0	8	0	0
30	AJ Allmendinger	16	Chevrolet	491	22	0	7	0	0
31	B.J. McLeod	78	Chevrolet	490	34	0	0	0	0
32	Austin Cindric	2	Ford	488	29	0	5	0	0
33	Ty Dillon	77	Chevrolet	263	33	0	4	0	0
34	Joey Logano	22	Ford	262	28	0	3	0	0
35	Justin Haley	31	Chevrolet	261	19	0	2	0	0
36	Ryan Newman	51	Ford	260	27	0	1	0	0
