POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Christopher Bell	20	Toyota	70	12	5	47	7	0
2	Joey Logano	22	Ford	70	11	10	52	17	0
3	Denny Hamlin	11	Toyota	70	4	5	52	18	0
4	Kurt Busch	1	Chevrolet	70	17	2	48	15	0
5	Brad Keselowski	2	Ford	70	15	0	39	7	0
6	Kevin Harvick	4	Ford	70	5	0	33	2	0
7	AJ Allmendinger	16	Chevrolet	70	34	2	0	0	0
8	Michael McDowell	34	Ford	70	2	0	29	0	0
9	Ryan Preece	37	Chevrolet	70	6	0	28	0	0
10	Alex Bowman	48	Chevrolet	70	36	0	27	0	0
11	Chris Buescher	17	Ford	70	30	0	27	1	0
12	Martin Truex Jr.	19	Toyota	70	19	0	35	10	0
13	Cole Custer	41	Ford	70	13	0	27	3	0
14	Erik Jones	43	Chevrolet	70	37	0	23	0	0
15	Ryan Blaney	12	Ford	70	27	0	22	0	0
16	Daniel Suarez	99	Chevrolet	70	35	2	21	0	0
17	Aric Almirola	10	Ford	70	26	0	20	0	0
18	Ricky Stenhouse Jr.	47	Chevrolet	70	16	0	19	0	0
19	Ty Dillon	96	Toyota	70	38	0	0	0	0
20	Ryan Newman	6	Ford	70	33	0	17	0	0
21	Chase Elliott	9	Chevrolet	70	1	44	31	15	0
22	Anthony Alfredo	38	Ford	70	31	0	15	0	0
23	James Davison	15	Chevrolet	70	39	0	14	0	0
24	Justin Haley	77	Chevrolet	70	20	0	0	0	0
25	Cody Ware	51	Chevrolet	70	21	0	0	0	0
26	Bubba Wallace	23	Toyota	70	10	0	11	0	0
27	Garrett Smithley	53	Chevrolet	70	25	0	0	0	0
28	Scott Heckert	78	Ford	70	28	0	9	0	0
29	Timmy Hill	66	Toyota	70	40	0	0	0	0
30	Kyle Larson	5	Chevrolet	70	8	0	12	5	0
31	Corey LaJoie	7	Chevrolet	70	7	0	6	0	0
32	Chase Briscoe	14	Ford	70	18	0	5	0	0
33	William Byron	24	Chevrolet	69	22	0	8	4	0
34	Austin Dillon	3	Chevrolet	69	3	0	6	3	0
35	Kyle Busch	18	Toyota	69	14	0	3	1	0
36	Josh Bilicki	52	Ford	68	23	0	1	0	0
37	Matt DiBenedetto	21	Ford	65	32	0	1	0	0
38	Tyler Reddick	8	Chevrolet	58	24	0	1	0	0
39	Ross Chastain	42	Chevrolet	26	9	0	1	0	0
40	Quin Houff	00	Chevrolet	3	29	0	1	0	0
