POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Austin Cindric	2	Ford	201	5	21	54	14	0
2	Bubba Wallace	23	Toyota	201	16	12	47	12	0
3	Chase Briscoe	14	Ford	201	9	0	41	7	0
4	Ryan Blaney	12	Ford	201	7	36	41	8	0
5	Aric Almirola	10	Ford	201	38	0	32	0	0
6	Kyle Busch	18	Toyota	201	10	28	38	7	0
7	Michael McDowell	34	Ford	201	6	0	39	9	0
8	David Ragan	15	Ford	201	34	0	29	0	0
9	Brad Keselowski	6	Ford	201	3	67	55	27	0
10	Chase Elliott	9	Chevrolet	201	11	0	34	7	0
11	Ty Dillon	42	Chevrolet	201	26	0	26	0	0
12	Daniel Hemric	16	Chevrolet	201	33	0	0	0	0
13	Martin Truex Jr.	19	Toyota	201	14	11	49	25	0
14	Corey LaJoie	7	Chevrolet	201	24	0	23	0	0
15	Landon Cassill	77	Chevrolet	201	27	0	0	0	0
16	Chris Buescher	17	Ford	200	4	0	35	14	0
17	Cody Ware	51	Ford	200	32	0	20	0	0
18	Daniel Suarez	99	Chevrolet	199	21	0	19	0	0
19	Kurt Busch	45	Toyota	199	17	0	24	6	0
20	Cole Custer	41	Ford	199	31	0	17	0	0
21	Joey Logano	22	Ford	198	20	1	33	17	0
22	Jacques Villeneuve	27	Ford	198	40	0	15	0	0
23	Justin Haley	31	Chevrolet	198	25	0	14	0	0
24	Alex Bowman	48	Chevrolet	197	2	0	13	0	0
25	Austin Dillon	3	Chevrolet	197	36	1	17	5	0
26	Kaz Grala	50	Chevrolet	196	35	0	11	0	0
27	B.J. McLeod	78	Ford	196	37	0	10	0	0
28	Ricky Stenhouse Jr.	47	Chevrolet	194	18	16	25	16	0
29	Erik Jones	43	Chevrolet	191	13	3	16	8	0
30	Kevin Harvick	4	Ford	191	22	0	11	4	0
31	Noah Gragson	62	Chevrolet	190	39	0	0	0	0
32	Kyle Larson	5	Chevrolet	190	1	1	14	9	0
33	Todd Gilliland	38	Ford	190	29	0	13	9	0
34	Christopher Bell	20	Toyota	152	12	0	9	6	0
35	Tyler Reddick	8	Chevrolet	151	15	0	5	3	0
36	Greg Biffle	44	Chevrolet	136	28	0	1	0	0
37	Denny Hamlin	11	Toyota	63	30	0	1	0	0
38	William Byron	24	Chevrolet	62	23	1	1	0	0
39	Harrison Burton	21	Ford	62	8	3	9	8	0
40	Ross Chastain	1	Chevrolet	62	19	0	2	1	0
