POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	William Byron	24	Chevrolet	403	5	212	58	18	0
2	Joey Logano	22	Ford	403	14	0	46	11	0
3	Austin Dillon	3	Chevrolet	403	23	1	39	5	0
4	Ryan Blaney	12	Ford	403	12	5	44	11	0
5	Ross Chastain	1	Chevrolet	403	27	0	32	0	0
6	Kurt Busch	45	Toyota	403	18	0	32	1	0
7	Kyle Busch	18	Toyota	403	11	0	30	0	0
8	Aric Almirola	10	Ford	403	2	0	39	10	0
9	Chase Briscoe	14	Ford	403	19	0	28	0	0
10	Chase Elliott	9	Chevrolet	403	1	185	47	20	0
11	Austin Cindric	2	Ford	403	13	0	31	5	0
12	Alex Bowman	48	Chevrolet	403	15	0	25	0	0
13	Erik Jones	43	Chevrolet	403	24	0	24	0	0
14	Kevin Harvick	4	Ford	403	6	0	29	6	0
15	Chris Buescher	17	Ford	403	4	0	22	0	0
16	Bubba Wallace	23	Toyota	403	21	0	21	0	0
17	Brad Keselowski	6	Ford	403	9	0	20	0	0
18	Tyler Reddick	8	Chevrolet	403	22	0	19	0	0
19	Kyle Larson	5	Chevrolet	403	8	0	18	0	0
20	Christopher Bell	20	Toyota	402	7	0	26	9	0
21	Cole Custer	41	Ford	402	3	0	30	14	0
22	Martin Truex Jr.	19	Toyota	401	20	0	15	0	0
23	Ty Dillon	42	Chevrolet	401	34	0	14	0	0
24	AJ Allmendinger	16	Chevrolet	401	36	0	0	0	0
25	Michael McDowell	34	Ford	400	16	0	12	0	0
26	Harrison Burton	21	Ford	400	29	0	11	0	0
27	Ricky Stenhouse Jr.	47	Chevrolet	400	28	0	10	0	0
28	Denny Hamlin	11	Toyota	400	25	0	9	0	0
29	Daniel Suarez	99	Chevrolet	399	30	0	8	0	0
30	Todd Gilliland	38	Ford	399	10	0	7	0	0
31	Justin Haley	31	Chevrolet	398	17	0	6	0	0
32	Corey LaJoie	7	Chevrolet	397	26	0	5	0	0
33	Cody Ware	51	Ford	394	35	0	4	0	0
34	J.J. Yeley	15	Ford	392	32	0	0	0	0
35	Josh Bilicki	77	Chevrolet	391	31	0	0	0	0
36	B.J. McLeod	78	Ford	132	33	0	1	0	0
