POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	500	5	175	59	19	0
2	Kevin Harvick	4	Ford	500	8	71	45	10	0
3	William Byron	24	Chevrolet	500	14	0	42	8	0
4	Ryan Blaney	12	Ford	500	7	45	43	10	0
5	Alex Bowman	48	Chevrolet	500	11	0	32	0	0
6	Brad Keselowski	2	Ford	500	10	10	46	15	0
7	Martin Truex Jr.	19	Toyota	500	1	5	32	2	0
8	Erik Jones	43	Chevrolet	500	22	0	29	0	0
9	Denny Hamlin	11	Toyota	500	2	65	47	19	0
10	Matt DiBenedetto	21	Ford	500	19	0	27	0	0
11	Joey Logano	22	Ford	500	3	0	26	0	0
12	Tyler Reddick	8	Chevrolet	500	13	0	27	2	0
13	Chase Briscoe	14	Ford	500	20	0	24	0	0
14	Ross Chastain	42	Chevrolet	500	17	0	23	0	0
15	Austin Dillon	3	Chevrolet	500	18	0	22	0	0
16	Bubba Wallace	23	Toyota	500	28	0	21	0	0
17	Ryan Preece	37	Chevrolet	500	27	0	20	0	0
18	Aric Almirola	10	Ford	500	12	0	19	0	0
19	Kurt Busch	1	Chevrolet	500	15	0	18	0	0
20	Ricky Stenhouse Jr.	47	Chevrolet	499	23	0	17	0	0
21	Kyle Busch	18	Toyota	499	9	0	21	5	0
22	Daniel Suarez	99	Chevrolet	498	21	0	15	0	0
23	Chris Buescher	17	Ford	498	25	0	14	0	0
24	Michael McDowell	34	Ford	498	16	0	13	0	0
25	Chase Elliott	9	Chevrolet	497	4	129	26	14	0
26	Corey LaJoie	7	Chevrolet	497	31	0	11	0	0
27	J.J. Yeley	51	Chevrolet	495	35	0	0	0	0
28	Cole Custer	41	Ford	494	26	0	9	0	0
29	Christopher Bell	20	Toyota	493	6	0	14	6	0
30	Garrett Smithley	53	Chevrolet	487	36	0	0	0	0
31	Josh Bilicki	52	Ford	482	33	0	6	0	0
32	David Starr	66	Toyota	482	38	0	0	0	0
33	James Davison	15	Chevrolet	474	37	0	4	0	0
34	Quin Houff	00	Chevrolet	375	34	0	3	0	0
35	Anthony Alfredo	38	Ford	313	30	0	2	0	0
36	Justin Haley	77	Chevrolet	216	29	0	0	0	0
37	B.J. McLeod	78	Ford	215	32	0	0	0	0
38	Ryan Newman	6	Ford	177	24	0	1	0	0
