POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Shane van Gisbergen	91	Chevrolet	78	3	9	55	15	0
2	Justin Haley	31	Chevrolet	78	37	23	35	0	0
3	Chase Elliott	9	Chevrolet	78	26	0	34	0	0
4	Kyle Larson	5	Chevrolet	78	7	0	46	13	0
5	Kyle Busch	8	Chevrolet	78	18	0	32	0	0
6	Austin Cindric	2	Ford	78	31	0	31	0	0
7	Michael McDowell	34	Ford	78	6	0	42	12	0
8	Joey Logano	22	Ford	78	9	0	29	0	0
9	Ty Gibbs	54	Toyota	78	12	1	35	7	0
10	Chris Buescher	17	Ford	78	15	0	27	0	0
11	Denny Hamlin	11	Toyota	78	1	0	26	0	0
12	Aric Almirola	10	Ford	78	24	0	25	0	0
13	William Byron	24	Chevrolet	78	22	0	24	0	0
14	Corey LaJoie	7	Chevrolet	78	19	0	23	0	0
15	Ryan Preece	41	Ford	78	28	0	22	0	0
16	Erik Jones	43	Chevrolet	78	21	0	21	0	0
17	AJ Allmendinger	16	Chevrolet	78	10	0	25	5	0
18	Christopher Bell	20	Toyota	78	4	37	39	20	0
19	Todd Gilliland	38	Ford	78	25	0	18	0	0
20	Chase Briscoe	14	Ford	78	16	0	18	1	0
21	Jenson Button	15	Ford	78	8	0	17	1	0
22	Ross Chastain	1	Chevrolet	78	34	0	15	0	0
23	Josh Bilicki	78	Chevrolet	78	27	0	0	0	0
24	Brad Keselowski	6	Ford	78	20	0	13	0	0
25	Noah Gragson	42	Chevrolet	78	23	0	12	0	0
26	Andy Lally	51	Ford	78	30	0	11	0	0
27	Daniel Suarez	99	Chevrolet	78	5	0	19	9	0
28	Tyler Reddick	45	Toyota	78	2	8	26	17	0
29	Kevin Harvick	4	Ford	78	35	0	8	0	0
30	Harrison Burton	21	Ford	78	32	0	7	0	0
31	Bubba Wallace	23	Toyota	78	14	0	6	0	0
32	Martin Truex Jr.	19	Toyota	77	11	0	15	10	0
33	Ryan Blaney	12	Ford	77	17	0	4	0	0
34	Ricky Stenhouse Jr.	47	Chevrolet	77	36	0	3	0	0
35	Ty Dillon	77	Chevrolet	67	33	0	2	0	0
36	Austin Dillon	3	Chevrolet	62	29	0	1	0	0
37	Alex Bowman	48	Chevrolet	40	13	0	1	0	0
