POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Ross Chastain	1	Chevrolet	69	16	31	43	3	0
2	Alex Bowman	48	Chevrolet	69	5	0	43	8	0
3	Christopher Bell	20	Toyota	69	7	0	34	0	0
4	Chase Elliott	9	Chevrolet	69	12	0	37	4	0
5	Tyler Reddick	8	Chevrolet	69	4	2	32	0	0
6	Ryan Blaney	12	Ford	69	1	1	47	16	0
7	Martin Truex Jr.	19	Toyota	69	17	0	30	0	0
8	Austin Cindric	2	Ford	69	10	11	32	3	0
9	Erik Jones	43	Chevrolet	69	30	0	28	0	0
10	Austin Dillon	3	Chevrolet	69	21	0	32	5	0
11	Kevin Harvick	4	Ford	69	18	0	26	0	0
12	William Byron	24	Chevrolet	69	24	0	25	0	0
13	Michael McDowell	34	Ford	69	27	0	24	0	0
14	Brad Keselowski	6	Ford	69	26	0	23	0	0
15	Justin Haley	31	Chevrolet	69	9	0	27	5	0
16	Todd Gilliland	38	Ford	69	29	0	21	0	0
17	Harrison Burton	21	Ford	69	19	0	26	6	0
18	Denny Hamlin	11	Toyota	69	8	3	29	10	0
19	Aric Almirola	10	Ford	69	25	0	24	6	0
20	Ty Dillon	42	Chevrolet	69	33	0	17	0	0
21	Chris Buescher	17	Ford	69	22	0	16	0	0
22	Josh Bilicki	77	Chevrolet	69	34	0	0	0	0
23	Cole Custer	41	Ford	69	3	0	14	0	0
24	Daniel Suarez	99	Chevrolet	69	2	15	23	10	0
25	Kaz Grala	50	Chevrolet	69	31	0	0	0	0
26	Boris Said	66	Ford	69	37	0	11	0	0
27	Cody Ware	51	Ford	69	35	0	10	0	0
28	Kyle Busch	18	Toyota	69	15	0	18	9	0
29	Kyle Larson	5	Chevrolet	69	13	0	14	6	0
30	Chase Briscoe	14	Ford	69	14	2	10	3	0
31	Joey Logano	22	Ford	69	6	2	21	15	0
32	Kurt Busch	45	Toyota	69	11	0	5	0	0
33	AJ Allmendinger	16	Chevrolet	68	20	2	0	0	0
34	Loris Hezemans	27	Ford	62	36	0	0	0	0
35	Joey Hand	15	Ford	60	38	0	2	0	0
36	Corey LaJoie	7	Chevrolet	57	32	0	1	0	0
37	Ricky Stenhouse Jr.	47	Chevrolet	52	28	0	1	0	0
38	Bubba Wallace	23	Toyota	44	23	0	2	1	0
39	Andy Lally	78	Ford	19	39	0	0	0	0
