POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Chris Buescher	17	Ford	163	11	2	40	0	0
2	Brad Keselowski	6	Ford	163	12	6	45	10	0
3	Aric Almirola	10	Ford	163	2	3	34	0	0
4	Chase Elliott	9	Chevrolet	163	23	2	37	4	0
5	Joey Logano	22	Ford	163	14	9	39	7	0
6	Alex Bowman	48	Chevrolet	163	31	0	38	7	0
7	Kyle Busch	8	Chevrolet	163	18	5	39	9	0
8	William Byron	24	Chevrolet	163	27	1	35	6	0
9	Kevin Harvick	4	Ford	163	10	14	36	8	0
10	Corey LaJoie	7	Chevrolet	163	37	0	27	0	0
11	Ty Dillon	77	Chevrolet	163	30	0	26	0	0
12	Bubba Wallace	23	Toyota	163	4	0	30	5	0
13	Michael McDowell	34	Ford	163	39	0	24	0	0
14	Austin Hill	62	Chevrolet	163	26	0	0	0	0
15	Chandler Smith	13	Chevrolet	163	36	0	0	0	0
16	Christopher Bell	20	Toyota	163	15	0	30	9	0
17	Ross Chastain	1	Chevrolet	163	25	19	22	2	0
18	Erik Jones	43	Chevrolet	163	24	0	19	0	0
19	J.J. Yeley	51	Ford	163	33	0	0	0	0
20	Daniel Suarez	99	Chevrolet	163	22	1	26	9	0
21	Justin Haley	31	Chevrolet	163	28	0	16	0	0
22	Josh Berry	42	Chevrolet	163	29	0	0	0	0
23	B.J. McLeod	78	Chevrolet	163	38	0	14	0	0
24	Martin Truex Jr.	19	Toyota	163	13	4	23	10	0
25	Tyler Reddick	45	Toyota	163	20	0	17	5	0
26	Denny Hamlin	11	Toyota	162	19	12	14	3	0
27	Kyle Larson	5	Chevrolet	161	7	0	10	0	0
28	Harrison Burton	21	Ford	160	3	5	9	0	0
29	AJ Allmendinger	16	Chevrolet	160	17	8	8	0	0
30	Chase Briscoe	14	Ford	156	1	67	9	2	0
31	Ryan Preece	41	Ford	155	9	0	6	0	0
32	Todd Gilliland	38	Ford	131	35	0	5	0	0
33	Austin Dillon	3	Chevrolet	102	21	0	7	3	0
34	Ricky Stenhouse Jr.	47	Chevrolet	96	32	1	3	0	0
35	Ty Gibbs	54	Toyota	94	5	0	9	7	0
36	Ryan Blaney	12	Ford	94	8	4	1	0	0
37	Austin Cindric	2	Ford	94	16	0	5	4	0
38	Riley Herbst	36	Ford	94	6	0	0	0	0
39	Brennan Poole	15	Ford	93	34	0	0	0	0
