POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Denny Hamlin	11	Toyota	400	13	5	40	0	0
2	Kevin Harvick	4	Ford	400	7	0	40	5	0
3	William Byron	24	Chevrolet	400	2	122	43	9	0
4	Martin Truex Jr.	19	Toyota	400	6	80	50	17	0
5	Kyle Larson	5	Chevrolet	400	21	0	34	2	0
6	Christopher Bell	20	Toyota	400	9	63	44	13	0
7	Ryan Blaney	12	Ford	400	1	128	46	16	0
8	Alex Bowman	48	Chevrolet	400	28	0	29	0	0
9	Kyle Busch	18	Toyota	400	3	1	37	9	0
10	Austin Dillon	3	Chevrolet	400	25	0	27	0	0
11	Chase Briscoe	14	Ford	400	4	0	26	0	0
12	Tyler Reddick	8	Chevrolet	400	16	0	25	0	0
13	Brad Keselowski	6	Ford	400	19	0	27	3	0
14	Chase Elliott	9	Chevrolet	400	15	0	33	10	0
15	Chris Buescher	17	Ford	400	18	0	22	0	0
16	Daniel Suarez	99	Chevrolet	400	14	0	21	0	0
17	Joey Logano	22	Ford	399	11	1	30	10	0
18	Harrison Burton	21	Ford	399	17	0	19	0	0
19	Ross Chastain	1	Chevrolet	399	8	0	34	16	0
20	Austin Cindric	2	Ford	399	20	0	17	0	0
21	Aric Almirola	10	Ford	398	10	0	16	0	0
22	Cole Custer	41	Ford	398	12	0	15	0	0
23	Erik Jones	43	Chevrolet	398	5	0	14	0	0
24	Ty Dillon	42	Chevrolet	398	30	0	13	0	0
25	Todd Gilliland	38	Ford	397	22	0	12	0	0
26	Bubba Wallace	23	Toyota	397	29	0	11	0	0
27	AJ Allmendinger	16	Chevrolet	396	26	0	0	0	0
28	Ricky Stenhouse Jr.	47	Chevrolet	396	32	0	9	0	0
29	Justin Haley	31	Chevrolet	396	36	0	8	0	0
30	Michael McDowell	34	Ford	395	24	0	7	0	0
31	Corey LaJoie	7	Chevrolet	392	31	0	6	0	0
32	Landon Cassill	77	Chevrolet	390	23	0	0	0	0
33	J.J. Yeley	15	Ford	390	35	0	0	0	0
34	B.J. McLeod	78	Ford	386	34	0	3	0	0
35	Kurt Busch	45	Toyota	291	27	0	2	0	0
36	Cody Ware	51	Ford	241	33	0	1	0	0
37	Greg Biffle	44	Chevrolet	96	37	0	1	0	0
