POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Daniel Suarez	99	Chevrolet	110	8	47	47	7	0
2	Chris Buescher	17	Ford	110	3	4	43	8	0
3	Michael McDowell	34	Ford	110	4	0	37	3	0
4	Kevin Harvick	4	Ford	110	23	0	39	6	0
5	Austin Cindric	2	Ford	110	25	0	32	0	0
6	Ryan Blaney	12	Ford	110	14	0	32	1	0
7	Ross Chastain	1	Chevrolet	110	7	0	30	0	0
8	Chase Elliott	9	Chevrolet	110	2	26	29	0	0
9	William Byron	24	Chevrolet	110	20	0	28	0	0
10	Brad Keselowski	6	Ford	110	22	3	27	0	0
11	Austin Dillon	3	Chevrolet	110	13	0	26	0	0
12	Justin Haley	31	Chevrolet	110	18	0	32	7	0
13	Chase Briscoe	14	Ford	110	15	0	24	0	0
14	Aric Almirola	10	Ford	110	21	0	38	15	0
15	Kyle Larson	5	Chevrolet	110	1	26	32	10	0
16	Alex Bowman	48	Chevrolet	110	19	0	21	0	0
17	Joey Logano	22	Ford	110	9	4	39	19	0
18	Kurt Busch	45	Toyota	110	11	0	22	3	0
19	AJ Allmendinger	16	Chevrolet	110	16	0	0	0	0
20	Joey Hand	15	Ford	110	17	0	17	0	0
21	Cole Custer	41	Ford	110	6	0	16	0	0
22	Erik Jones	43	Chevrolet	110	33	0	15	0	0
23	Ty Dillon	42	Chevrolet	110	34	0	14	0	0
24	Todd Gilliland	38	Ford	110	24	0	18	5	0
25	Ricky Stenhouse Jr.	47	Chevrolet	110	32	0	16	4	0
26	Martin Truex Jr.	19	Toyota	110	28	0	11	0	0
27	Christopher Bell	20	Toyota	110	31	0	10	0	0
28	Harrison Burton	21	Ford	110	26	0	18	9	0
29	Josh Bilicki	77	Chevrolet	110	29	0	0	0	0
30	Kyle Busch	18	Toyota	110	12	0	15	8	0
31	Denny Hamlin	11	Toyota	110	10	0	6	0	0
32	Cody Ware	51	Ford	109	36	0	6	1	0
33	Scott Heckert	78	Ford	109	35	0	0	0	0
34	Corey LaJoie	7	Chevrolet	101	30	0	3	0	0
35	Tyler Reddick	8	Chevrolet	97	5	0	2	0	0
36	Bubba Wallace	23	Toyota	9	27	0	1	0	0
